LP HUMAN SYSTEM
en-cs 0.594 CUNI-Transformer.5595
en-cs 0.384 uedin.5630
en-cs 0.101 online-B.0
en-cs -0.115 online-A.0
en-cs -0.246 online-G.0
tr-en 0.045 online-G.0
tr-en 0.04 online-A.0
tr-en -0.004 online-B.0
tr-en -0.053 uedin.5709
tr-en -0.055 NICT.5708
fi-en 0.153 NICT.5515
fi-en 0.128 HY-NMT-fi-en.5569
fi-en 0.103 uedin.5631
fi-en 0.083 CUNI-Kocmi.5619
fi-en 0.078 online-B.0
fi-en 0.047 talp-upc.5423
fi-en 0.045 online-A.0
fi-en -0.134 online-G.0
fi-en -0.404 JUCBNMT.5559
zh-en 0.14 NiuTrans.5740
zh-en 0.111 online-B.0
zh-en 0.109 UCAM.5586
zh-en 0.108 Unisound.5712
zh-en 0.099 Tencent-ensemble-system.5742
zh-en 0.094 Unisound.5668
zh-en 0.091 Li-Muze.5736
zh-en 0.089 NICT.5539
zh-en 0.078 UMD.5681
zh-en -0.005 online-Y.0
zh-en -0.017 uedin.5652
zh-en -0.061 online-A.0
zh-en -0.327 online-G.0
zh-en -0.377 online-F.0
en-zh 0.219 Tencent-ensemble-system.5760
en-zh 0.206 Unisound.5669
en-zh 0.199 GTCOM-Primary.5762
en-zh 0.185 Alibaba-ensemble-system-with-reranking.5738
en-zh 0.173 Alibaba-General-System.5749
en-zh 0.166 online-B.0
en-zh 0.165 Alibaba-General-System.5743
en-zh 0.094 UMD.5680
en-zh 0.082 NICT.5538
en-zh 0.069 online-Y.0
en-zh 0.037 online-A.0
en-zh -0.202 uedin.5735
en-zh -0.419 online-F.0
en-zh -0.435 online-G.0
ru-en 0.215 Alibaba.5720
ru-en 0.192 online-B.0
ru-en 0.17 online-G.0
ru-en 0.11 uedin.5739
ru-en 0.034 online-A.0
ru-en -0.014 afrl-ruen-syscomb.5440
ru-en -0.027 JHU.5675
ru-en -0.398 online-F.0
en-de 0.653 online-Z.0
en-de 0.561 online-B.0
en-de 0.551 Microsoft-Marian.5691
en-de 0.539 MMT-production-system.5594
en-de 0.537 UCAM.5585
en-de 0.491 NTT.5667
en-de 0.454 KIT.5486
en-de 0.396 online-Y.0
en-de 0.377 JHU.5703
en-de 0.352 uedin.5770
en-de 0.213 LMU-nmt.5741
en-de 0.06 online-A.0
en-de -0.385 online-F.0
en-de -0.416 online-G.0
en-de -0.966 RWTH-UNSUPER.5484
en-de -1.122 LMU-unsup.5651
en-ru 0.352 Alibaba-ensemble-model.5713
en-ru 0.324 online-G.0
en-ru 0.159 online-B.0
en-ru 0.144 uedin.5737
en-ru 0.115 PROMT-Hybrid-Marian.5605
en-ru 0.066 PROMT-Hybrid-OpenNMT.5654
en-ru -0.004 online-A.0
en-ru -0.075 PROMT-Rule-based.5429
en-ru -0.58 online-F.0
en-fi 0.521 NICT.5658
en-fi 0.466 HY-NMT-en-fi.5570
en-fi 0.324 uedin.5707
en-fi 0.271 Aalto.5550
en-fi 0.258 HY-NMTtwostep-en-fi.5639
en-fi 0.238 talp-upc.5424
en-fi 0.184 CUNI-Kocmi.5620
en-fi 0.183 online-B.0
en-fi -0.212 online-A.0
en-fi -0.233 online-G.0
en-fi -0.334 HY-SMT-en-fi.5436
en-fi -0.369 HY-AH-en-fi.5567
et-en 0.326 tilde-nc-nmt.5485
et-en 0.238 NICT.5664
et-en 0.215 tilde-c-nmt.5715
et-en 0.187 M4t1ss.5692
et-en 0.186 uedin.5562
et-en 0.171 tilde-c-nmt-comb.5718
et-en 0.117 online-B.0
et-en 0.106 HY-NMT-et-en.5463
et-en 0.106 talp-upc.5421
et-en 0.063 online-A.0
et-en 0.007 CUNI-Kocmi.5618
et-en -0.117 neurotolge.ee.5398
et-en -0.341 online-G.0
et-en -0.95 UnsupTartu.5722
en-et 0.549 tilde-nc-nmt.5449
en-et 0.453 NICT.5500
en-et 0.427 tilde-c-nmt.5565
en-et 0.418 M4t1ss.5723
en-et 0.34 Aalto.5551
en-et 0.329 HY-NMT-en-et.5469
en-et 0.295 uedin.5563
en-et 0.216 CUNI-Kocmi.5616
en-et 0.181 talp-upc.5422
en-et 0.097 online-B.0
en-et -0.132 neurotolge.ee.5399
en-et -0.195 online-A.0
en-et -0.406 online-G.0
en-et -0.52 parfda.5779
en-tr 0.277 online-B.0
en-tr 0.222 uedin.5644
en-tr 0.216 alibaba-ensemble-model.5732
en-tr 0.128 NICT.5695
en-tr 0.111 alibaba-ensemble-model.5744
en-tr 0.058 online-G.0
en-tr -0.06 RWTH.5632
en-tr -0.254 online-A.0
de-en 0.413 RWTH.5636
de-en 0.395 UCAM.5690
de-en 0.359 NTT.5666
de-en 0.346 online-B.0
de-en 0.321 MLLP-UPV.5554
de-en 0.317 JHU.5706
de-en 0.315 Ubiqus-NMT.5635
de-en 0.31 online-Y.0
de-en 0.268 online-A.0
de-en 0.261 uedin.5766
de-en 0.162 LMU-nmt.5756
de-en 0.149 NJUNMT-private.5406
de-en -0.074 online-G.0
de-en -0.296 online-F.0
de-en -0.752 RWTH-UNSUPER.5482
de-en -0.835 LMU-unsup.5650
cs-en 0.298 CUNI-Transformer.5560
cs-en 0.165 uedin.5561
cs-en 0.115 online-B.0
cs-en -0.023 online-A.0
cs-en -0.183 online-G.0
