LP	source	translation	reference	HUMAN_score	sentBLEU
ru-en	И таких примеров по стране масса.	and such examples of the country mass .	and there are a host of examples like this throughout the country .	-1.74075717431273	0.139622
ru-en	Но вместо этого баскетбол - США--Австралия.	but instead , basketball is south-australia .	but instead of this , it was basketball between the usa and australia .	-1.4058092409463603	0.106948
ru-en	Она дефилирует для Марка Джейкобса.	it debranches for mark jacobs .	she &apos;s walking for marc jacobs .	-1.38759568411715	0.264436
ru-en	ФАС оштрафует Google на 438 млн рублей.	fas oshtrafuet google at 438 million rubles .	the fas will fine google 438 million roubles .	-1.33941632085611	0.22149499999999997
ru-en	"""Придется перестраиваться"", - говорит имам Бурнаевской мечети Фархат Мавлетдинов."	&quot; it will have to be rebuilt , &quot; says the imam .	‘ we &apos;re going to have to change our ways ’ , says the imam of burnaevskaya mosque , farhat mavletdinov .	-1.31437074546371	0.11368900000000001
ru-en	Хорошо, что я с собой китайского захватила, заварного.	it &apos;s a good thing i took the chinese with me , floating .	it &apos;s a good thing i brought some chinese tea to brew with me .	-1.31174326503196	0.43353400000000003
ru-en	"Отработанным в ""Пите и его драконе"" тандемом Дэвид Лоури и сценарист Тоби Хэлбрукс вошли в новый амбициозный проект о не взрослеющем мальчике по одноименной сказке Джеймса Барри."	worked out in “ you pite and its dragon ” by tandem david lowry and scenario of tobi khelbruks entered into the new ambitious project about not vzrosleyushchem boy on the similar fairy tale of james barry .	the tandem of david lowery and screenwriter toby halbrooks , tried and tested during ‘ pete &apos;s dragon ’ , has entered into an ambitious new project about the boy who never grew up from james barrie &apos;s fairy tale by the same name .	-1.29271578579041	0.0671785
ru-en	Это самый близкий к дзену олимпийский вид спорта.	this is the most close to dzenu olympic sport .	it is as close to zen as olympic competition gets .	-1.29068289719696	0.178519
ru-en	Черников будет находится под арестом до 9 октября.	blueberries will be under arrest until 9 october .	chernikov will be held in custody until 9 october .	-1.28674625651624	0.404289
ru-en	Жители были эвакуированы в две церкви, но они обе сейчас затопляются.	residents were evacuated in the two churches , but they both now zatoplyaetsya .	residents had been evacuated to two churches but both are now flooding .	-1.2837892011250902	0.153102
ru-en	Их быстро эвакуировали в безопасное место, пострадавших нет.	they were quickly evacuated to a safe place , the victims did not .	they were quickly evacuated to a safe place , and there were no injuries .	-1.28331195033051	0.597171
ru-en	"""Многих бывших клиентов тоже выдавили ценами из Уильямсберга"", – поделился он."	&quot; many of the former customers were also squeezed out of the uil &apos;jamsberga , &quot; he shared it .	&quot; a lot of former customers got priced out of williamsburg too , &quot; he said .	-1.28206650509443	0.166353
